data;														
														
param	n	:=	6;											
param	n_d	:=	4;											
														
set	A	:=	(1,2)	(1,4)	(1,3)	
(1,5)	(2,3)	(2,4)	(3,5)	(3,6)	
(4,5)	(4,6)	(5,6)	(5,2);
														
param	:	s	t	d	:=									
1	1	6	8											
2	1	4	4											
3	5	6	7											
4	1	5	5;	
											
														
param:	f	u:=												
1	2	10	4											
1	3	6	8											
1	4	22	7											
1	5	18	4											
2	3	4	4											
2	4	4	4											
3	5	6	4											
3	6	24	9											
4	5	5	5											
4	6	6	5											
5	6	10	10											
5	2	4	4;											
														
