data;														
														
param	n	:=	6;											
param	n_d	:=	4;	
param lambda := 3;
param delta := 4;										
														
set	A	:=	(1,2)	(1,4)	(1,3)	
(1,5)	(2,3)	(2,4)	(3,5)	(3,6)	
(4,5)	(4,6)	(5,6)	(5,2);
														
param	:	s	t	d	:=									
1	1	6	8											
2	1	4	4											
3	5	6	7											
4	1	5	5;	


											
														
param:	f:=												
1	2	10												
1	3	6												
1	4	22												
1	5	18												
2	3	4												
2	4	4												
3	5	6												
3	6	24												
4	5	5												
4	6	6												
5	6	10												
5	2	4	;

param: u g:=
1	20	20
2	40	40
3	60	55
4	80	75
;											
														
