param	n:=	12;			
		
set	A	:=			
(	1	,	2	)	
(	2	,	5	)	
(	2	,	6	)	
(	2	,	12	)	
(	3	,	6	)	
(	3	,	9	)	
(	4	,	7	)	
(	4	,	10	)	
(	4	,	11	)	
(	5	,	7	)	
(	5	,	8	)	
(	6	,	7	)	
(	8	,	10	)	
(	9	,	12	)	
(	10	,	11	)	
(	2	,	1	)	
(	5	,	2	)	
(	6	,	2	)	
(	12	,	2	)	
(	6	,	3	)	
(	9	,	3	)	
(	7	,	4	)	
(	10	,	4	)	
(	11	,	4	)	
(	7	,	5	)	
(	8	,	5	)	
(	7	,	6	)	
(	10	,	8	)	
(	12	,	9	)	
(	11	,	10	)	
;					
param	:	c	u:=		
1	2	13	102		
2	5	108	2000		
2	6	59	2000		
2	12	90	2000		
3	6	26	2000		
3	9	115	2000		
4	7	75	2000		
4	10	152	2000		
4	11	157	2000		
5	7	103	2000		
5	8	220	2000		
6	7	90	2000		
8	10	51	2000		
9	12	34	2000		
10	11	114	2000		
2	1	13	2000		
5	2	108	2000		
6	2	59	2000		
12	2	90	2000		
6	3	26	2000		
9	3	115	2000		
7	4	75	2000		
10	4	152	2000		
11	4	157	2000		
7	5	103	2000		
8	5	220	2000		
7	6	90	2000		
10	8	51	2000		
12	9	34	2000		
11	10	114	2000		
;					
					
					
					
					
param 	n_d:=25;			
param	:		s	t	d:=
1	6	11	4		
2	1	3	3		
3	5	11	2		
4	7	8	3		
5	8	9	12		
6	5	8	17		
7	3	6	28		
8	8	11	10		
9	8	10	23		
10	1	4	2		
11	1	5	1		
12	1	7	1		
13	3	4	32		
14	7	9	4		
15	5	6	4		
16	4	6	8		
17	9	12	41		
18	7	12	5		
19	9	10	6		
20	4	12	17		
21	7	11	2		
22	4	7	5		
23	6	9	19		
24	1	6	1		
25	9	10	6		
;		


			
